Compania,Orden,Posicion,FechaMov,Hora,Secuencia,TipoReg,Cantidad,Articulo
225,183506,20,17/11/2020,78723,2,3,5.25,KS320019601     
225,183510,10,11/11/2020,81879,3,3,25,010015664       
225,183559,50,04/11/2020,82029,2,3,1.2,KD480016590     
225,183567,10,09/11/2020,78400,2,3,3,KS360018979     
225,183567,10,20/11/2020,77529,3,3,4,KS360018979     
225,183567,20,28/11/2020,45874,1,3,2.13,KS360018979     
225,183617,10,05/11/2020,80127,15,3,15.75,KS320020490     
225,183617,10,05/11/2020,80128,0,3,7.35,KS320020490     
225,183619,10,03/11/2020,82889,9,3,6.3,KS230019332     
225,183619,20,03/11/2020,82889,10,3,2.65,010019550       
225,183602,10,10/11/2020,81375,3,3,2.625,KS290020915     
225,183636,10,18/11/2020,79339,9,3,5.25,010018484       
225,183632,10,09/11/2020,78403,0,3,1.05,010018704       
225,183632,20,09/11/2020,78403,1,3,1,010018486       
225,183632,30,09/11/2020,78402,10,3,2.1,010018703       
225,183604,10,19/11/2020,78863,4,3,5.175,020016690       
225,183623,20,27/11/2020,77460,4,3,6,KS260018508     
225,183627,20,06/11/2020,81031,6,3,1.03,KS320018532     
225,183627,50,09/11/2020,78399,10,3,1,KS320020358     
225,183627,80,03/11/2020,82890,1,3,1.05,KS320016708     
225,183627,100,27/11/2020,77459,9,3,1,KS320018893     
225,183627,110,27/11/2020,77459,10,3,1.03,KS320018887     
225,183627,130,18/11/2020,79336,0,3,1.025,22009342        
225,183627,130,18/11/2020,79336,1,3,0.3,22009342        
225,183627,130,19/11/2020,78862,10,3,1.025,22009342        
225,183627,130,19/11/2020,78862,13,3,1.025,22009342        
225,183782,10,03/11/2020,82886,13,3,14.075,BS400020958     
225,183649,10,04/11/2020,82028,0,3,3.3,BS230018918     
225,183651,20,04/11/2020,82028,1,3,4.5,BS230018917     
225,183644,10,03/11/2020,82889,1,3,8.7,KS320018871     
225,183653,10,04/11/2020,82019,2,3,0.3,KS230017158     
225,183653,10,04/11/2020,82019,4,3,0.025,KS230017158     
225,183653,20,12/11/2020,77454,6,3,0.3,KS230017158     
225,183653,60,12/11/2020,77454,5,3,0.705,KD420015190     
225,183665,30,03/11/2020,82885,13,3,1.3,KS400014885     
225,183677,10,25/11/2020,78506,7,3,6.35,KS320019907     
225,183714,10,17/11/2020,78724,5,3,1,KS320320516     
225,183716,10,17/11/2020,78724,6,3,1,KS320020265     
225,183718,10,04/11/2020,82029,0,3,4,KS320320242     
225,183724,30,03/11/2020,82879,0,3,0.58,KD420020732     
225,183706,40,03/11/2020,82880,6,3,1.05,KS260020731     
225,183707,40,03/11/2020,82878,2,3,1,KS260020730     
225,183729,10,03/11/2020,82888,0,3,1.08,KS400017948     
225,183729,10,06/11/2020,81035,0,3,0.72,KS400017948     
225,183729,10,09/11/2020,78396,1,3,0.36,KS400017948     
225,183729,10,12/11/2020,77452,11,3,0.72,KS400017948     
225,183729,10,17/11/2020,78729,2,3,0.72,KS400017948     
225,183729,20,09/11/2020,78398,13,3,0.72,KS400017948     
225,183729,20,20/11/2020,77531,5,3,0.72,KS400017948     
225,183729,20,24/11/2020,76793,0,3,0.72,KS400017948     
225,183729,30,27/11/2020,77460,6,3,0.72,KS400017948     
225,183731,30,06/11/2020,81033,1,3,5.25,KD420018931     
225,183732,40,04/11/2020,82021,8,3,2.6,KS400019055     
225,183732,40,04/11/2020,82021,9,3,4.2,KS400019055     
225,183737,10,09/11/2020,78401,15,3,2.15,KS230021013     
225,183734,10,03/11/2020,82889,6,3,6.6,BS440019654     
225,183734,20,03/11/2020,82889,7,3,13.2,010114419       
225,183734,30,03/11/2020,82889,8,3,6.6,010214419       
225,183771,10,04/11/2020,82026,7,3,4.2,KS230021015     
225,183768,10,09/11/2020,78400,13,3,2,KS320018532     
225,183768,20,28/11/2020,45873,0,3,1.05,KS320018532     
225,183776,10,11/11/2020,81878,14,3,25,010015471       
225,183776,20,12/11/2020,77454,0,3,25,010015471       
225,183777,10,11/11/2020,81876,0,3,25,010015473       
225,183755,10,03/11/2020,82879,6,3,0.575,030015608       
225,183756,10,03/11/2020,82879,7,3,0.575,030015948       
225,183786,10,06/11/2020,81038,10,3,14.45,KS320020580     
225,183786,20,09/11/2020,78396,4,3,4.2,BS440019668     
225,183786,20,09/11/2020,78399,14,3,22.225,BS440019668     
225,183787,10,03/11/2020,82886,14,3,2.1,KS400021020     
225,183789,20,04/11/2020,82028,2,3,0.5,BS230018917     
225,183789,20,09/11/2020,78400,6,3,2.75,BS230018917     
225,183790,40,03/11/2020,82888,2,3,3.125,KS290018558     
225,183791,10,17/11/2020,78722,1,3,0.4,050015483       
225,183791,30,04/11/2020,82019,0,3,1.5,KD420015321     
225,183791,30,04/11/2020,82019,1,3,0.105,KD420015321     
225,183791,40,04/11/2020,82019,3,3,0.5,KS230017158     
225,183791,50,04/11/2020,82020,1,3,0.4,050015483       
225,183791,50,04/11/2020,82020,3,3,0.021,050015483       
225,183791,70,17/11/2020,78721,6,3,1.5,KD420015321     
225,183791,70,17/11/2020,78721,8,3,0.133,KD420015321     
225,183791,80,12/11/2020,77455,0,3,0.5,KS230017158     
225,183791,80,12/11/2020,77455,1,3,0.075,KS230017158     
225,183791,100,09/11/2020,78398,1,3,1.2,KD420015267     
225,183791,100,09/11/2020,78398,2,3,0.12,KD420015267     
225,183792,10,11/11/2020,81880,3,3,2.025,KS290019756     
225,183799,10,03/11/2020,82889,2,3,8,210013359       
225,183800,10,03/11/2020,82889,3,3,3.05,BS290018937     
225,183803,10,03/11/2020,82889,0,3,1.05,010020430       
225,183803,10,05/11/2020,80126,5,3,0.5,010020430       
225,183804,20,03/11/2020,82884,6,3,1,110015899       
225,183812,10,03/11/2020,82882,6,3,8.725,BS400019637     
225,183812,10,04/11/2020,82022,2,3,7.1,BS400019637     
225,183812,10,13/11/2020,79853,3,3,2.175,BS400019637     
225,183818,10,03/11/2020,82882,7,3,9.55,BS400019411     
225,183821,10,04/11/2020,82026,8,3,5,KS320019841     
225,183821,10,23/11/2020,78612,5,3,4.1,KS320019841     
225,183822,10,24/11/2020,76795,12,3,10,KS320020713     
225,183823,10,06/11/2020,81037,0,3,2.57,KD420019930     
225,183825,10,04/11/2020,82026,9,3,1.625,KS290020930     
225,183825,10,04/11/2020,82027,1,3,0.875,KS290020930     
225,183825,10,13/11/2020,79852,6,3,3.5,KS290020930     
225,183825,10,17/11/2020,78729,1,3,3.5,KS290020930     
225,183833,20,06/11/2020,81032,5,3,3.1,KS230019898     
225,183831,20,09/11/2020,78399,0,3,6.8,KS290020426     
225,183831,30,04/11/2020,82025,2,3,5.075,KS260020322     
