Compania,Almacen,Articulo,Stock
225,PTM,KS260019589     ,2625
225,PTM,KS260019620     ,1960650
225,PTM,KS260019722     ,3000
225,PTM,KS260020013     ,3200
225,PTM,KS260020079     ,7700
225,PTM,KS260020292     ,3093
225,PTM,KS260020377     ,2200
225,PTM,KS260020706     ,2500
225,PTM,KS260020730     ,1375
225,PTM,KS260021049     ,420
225,PTM,KS260118461     ,3000
225,PTM,KS290016032     ,925
225,PTM,KS290016139     ,13125
225,PTM,KS290016366     ,8025
225,PTM,KS290017258     ,275
225,PTM,KS290017869     ,5325
225,PTM,KS290017927     ,2000
225,PTM,KS290018461     ,3000
225,PTM,KS290018633     ,4375
225,PTM,KS290019006     ,4150
225,PTM,KS290019340     ,1950
225,PTM,KS290019660     ,5250
225,PTM,KS290019725     ,3825
225,PTM,KS290019739     ,2750
225,PTM,KS290020110     ,23725
225,PTM,KS290020128     ,20875
225,PTM,KS290020169     ,4000
225,PTM,KS290020198     ,1000
225,PTM,KS290020357     ,1000
225,PTM,KS290020426     ,7325
225,PTM,KS290020498     ,3000
225,PTM,KS290020530     ,250
225,PTM,KS290020765     ,2150
225,PTM,KS290020882     ,3500
225,PTM,KS290020884     ,10000
225,PTM,KS290020885     ,625
225,PTM,KS290020886     ,3000
225,PTM,KS290020887     ,8750
225,PTM,KS290020930     ,1935
225,PTM,KS290020931     ,6425
225,PTM,KS290021089     ,1200
225,PTM,KS320015652     ,1000
225,PTM,KS320015674     ,3000
225,PTM,KS320015784     ,1125
225,PTM,KS320015938     ,1000
225,PTM,KS320016266     ,12775
225,PTM,KS320017093     ,2575
225,PTM,KS320017339     ,10650
225,PTM,KS320017513     ,2750
225,PTM,KS320017843     ,4725
225,PTM,KS320017845     ,7450
225,PTM,KS320017888     ,2200
225,PTM,KS320017949     ,10240
225,PTM,KS320018270     ,2150
225,PTM,KS320018317     ,725
225,PTM,KS320018410     ,300
225,PTM,KS320018594     ,1200
225,PTM,KS320018676     ,1030
225,PTM,KS320018871     ,8695
225,PTM,KS320019034     ,2025
225,PTM,KS320019129     ,2050
225,PTM,KS320019177     ,3425
225,PTM,KS320019187     ,2095
225,PTM,KS320019322     ,1000
225,PTM,KS320019601     ,3000
225,PTM,KS320019602     ,9525
225,PTM,KS320019607     ,4075
225,PTM,KS320019801     ,6000
225,PTM,KS320019810     ,600
225,PTM,KS320019827     ,325
225,PTM,KS320019831     ,700
225,PTM,KS320019833     ,1575
225,PTM,KS320019841     ,25
225,PTM,KS320019887     ,20125
