Compania,ListaPrecios,Articulo,NivelDscto,CantOImp,Precio,Descuento,ImpDesc,FechaInicio,FechaCaducidad
225,014,230012456       ,1,99999999,4714,0,0,24/05/2010,27/05/2015
225,014,140011479       ,1,99999999,21467,0,0,25/01/2011,25/11/2012
225,014,020010470       ,1,99999999,3437,0,0,20/01/2011,17/02/2021
225,014,110014071       ,1,99999999,4336,0,0,20/01/2011,17/02/2021
225,014,02008946        ,1,99999999,3097,0,0,20/01/2011,17/02/2021
225,014,020014545       ,1,99999999,3383,0,0,20/01/2011,27/05/2015
225,014,240410818       ,1,99999999,3396,0,0,01/02/2011,17/02/2021
225,014,040014549       ,1,99999999,3509,0,0,01/02/2011,17/02/2021
225,014,071021          ,1,99999999,1170.82,0,0,01/02/2011,03/03/2011
225,014,040014548       ,1,99999999,3158,0,0,01/02/2011,17/02/2021
225,014,071021C         ,1,99999999,1171.9,0,0,01/02/2011,07/03/2011
225,014,040014550       ,1,99999999,4107,0,0,01/02/2011,17/02/2021
225,014,071021B         ,1,99999999,1384.2,0,0,01/02/2011,07/03/2011
225,014,040014551       ,1,99999999,795,0,0,01/02/2011,17/02/2021
225,014,010014277       ,1,99999999,3632,0,0,19/05/2010,17/02/2021
225,014,010014278       ,1,99999999,121,0,0,19/05/2010,17/02/2021
225,014,071021-B1       ,1,99999999,1104.88,0,0,02/02/2011,17/02/2021
225,014,020014025       ,1,99999999,1643,0,0,24/05/2010,17/02/2021
225,014,040014552       ,1,99999999,3158,0,0,02/02/2011,17/02/2021
225,014,030012248       ,1,99999999,8102,0,0,24/05/2010,17/02/2021
225,014,020014210       ,1,99999999,3538,0,0,24/05/2010,10/04/2016
225,014,020012255       ,1,99999999,3392,0,0,24/05/2010,27/05/2015
225,014,020012292       ,1,99999999,2262,0,0,24/05/2010,27/05/2015
225,014,050013816       ,1,99999999,25604,0,0,24/05/2010,17/02/2021
225,014,071021D         ,1,99999999,1312.04,0,0,03/02/2011,13/03/2011
225,014,071021E         ,1,99999999,1036.41,0,0,03/02/2011,13/03/2011
225,014,071021F         ,1,99999999,1379.03,0,0,03/02/2011,19/05/2011
225,014,020014559       ,1,99999999,774,0,0,03/02/2011,17/02/2021
225,014,030014558       ,1,99999999,2700,0,0,03/02/2011,17/02/2021
225,014,040014553       ,1,99999999,4108,0,0,03/02/2011,17/02/2021
225,014,040014554       ,1,99999999,4108,0,0,03/02/2011,17/02/2021
225,014,020012101       ,1,99999999,8739,0,0,25/01/2011,17/02/2021
225,014,02009215        ,1,99999999,4821,0,0,19/05/2010,17/02/2021
225,014,02019215        ,1,99999999,4821,0,0,19/05/2010,17/02/2021
225,014,020012426       ,1,99999999,3936,0,0,27/01/2011,26/06/2011
225,014,01000152        ,1,99999999,248,0,0,18/05/2010,26/11/2012
225,014,01004119        ,1,99999999,338,0,0,24/05/2010,26/11/2012
225,014,01004120        ,1,99999999,1349,0,0,18/05/2010,26/11/2012
225,014,010010451       ,1,99999999,4418,0,0,18/05/2010,26/11/2012
225,014,01000149        ,1,99999999,6334,0,0,18/05/2010,26/11/2012
225,014,040014560       ,1,99999999,9204,0,0,09/02/2011,22/11/2012
225,014,040011693       ,1,99999999,8144,0,0,09/02/2011,21/11/2012
225,014,030013845       ,1,99999999,3909,0,0,18/05/2010,17/02/2021
225,014,040012523       ,1,99999999,5093,0,0,02/02/2011,25/11/2012
225,014,02006189        ,1,99999999,4733,0,0,30/07/2010,08/09/2013
225,014,02006412        ,1,99999999,2722,0,0,30/07/2010,08/09/2013
225,014,010014001       ,1,99999999,5116,0,0,12/02/2011,26/06/2011
225,014,030014067       ,1,99999999,4807,0,0,24/05/2010,17/02/2021
225,014,020014050       ,1,99999999,3240,0,0,24/05/2010,17/02/2021
225,014,020014070       ,1,99999999,3457,0,0,24/05/2010,17/02/2021
225,014,020014567       ,1,99999999,2783,0,0,26/02/2011,28/11/2012
225,014,020014049       ,1,99999999,4012,0,0,02/02/2011,17/02/2021
225,014,020014275       ,1,99999999,4492,0,0,02/02/2011,17/02/2021
225,014,020014562       ,1,99999999,7170,0,0,17/02/2011,17/02/2021
225,014,040014561       ,1,99999999,5096,0,0,17/02/2011,17/02/2021
225,014,240114561       ,1,99999999,13663,0,0,17/02/2011,17/02/2021
225,014,240214561       ,1,99999999,18759,0,0,17/02/2011,27/08/2013
225,014,24P15009        ,1,99999999,1388.5,0,0,17/02/2011,18/01/2012
225,014,030012399       ,1,99999999,5520,0,0,17/02/2011,21/11/2012
225,014,220012251       ,1,99999999,11673,0,0,13/01/2011,13/07/2011
225,014,050012660       ,1,99999999,11701,0,0,02/06/2011,26/06/2011
225,014,03008945        ,1,99999999,5804.35,0,0,24/05/2010,15/12/2013
225,014,11008948        ,1,99999999,4336,0,0,20/01/2011,17/02/2021
225,014,02009448        ,1,99999999,1849,0,0,02/02/2011,17/02/2021
225,014,11000285        ,1,99999999,10724,0,0,02/02/2011,26/11/2012
225,014,01000147        ,1,99999999,391,0,0,18/05/2010,26/11/2012
225,014,01000148        ,1,99999999,440,0,0,18/05/2010,26/11/2012
225,014,01000150        ,1,99999999,1990,0,0,18/05/2010,26/11/2012
225,014,020014568       ,1,99999999,1494,0,0,26/02/2011,20/03/2013
225,014,220014563       ,1,99999999,7586,0,0,18/02/2011,23/02/2011
225,014,010114563       ,1,99999999,674,0,0,18/02/2011,17/02/2021
225,014,030014225       ,1,99999999,5919,0,0,17/02/2011,17/02/2021
225,014,040013444       ,1,99999999,5631,0,0,11/02/2011,17/02/2021
225,014,020014565       ,1,99999999,5293,0,0,23/02/2011,17/02/2021
225,014,050013004       ,1,99999999,6267,0,0,19/05/2010,01/03/2011
225,014,020012424       ,1,99999999,5179,0,0,02/06/2010,26/06/2011
225,014,220014010       ,1,99999999,10156,0,0,21/05/2010,17/02/2021
225,014,010011288       ,1,99999999,4401,0,0,02/12/2010,17/02/2021
225,014,040011733       ,1,99999999,16567,0,0,02/12/2010,17/02/2021
225,014,020014566       ,1,99999999,2204,0,0,25/02/2011,17/02/2021
225,014,05009621        ,1,99999999,4928,0,0,19/05/2010,17/02/2021
225,014,020013859       ,1,99999999,3101,0,0,28/05/2010,28/02/2011
225,014,020011560       ,1,99999999,1652,0,0,28/05/2010,26/02/2013
225,014,200013077       ,1,99999999,26976,0,0,10/08/2010,29/09/2013
225,014,020012049       ,1,99999999,4703,0,0,08/01/2011,17/02/2021
225,014,030014570       ,1,99999999,2481,0,0,02/03/2011,17/02/2021
225,014,020014569       ,1,99999999,9943,0,0,02/03/2011,17/02/2021
225,014,030013540       ,1,99999999,5626,0,0,02/03/2011,17/02/2021
225,014,120014503       ,1,99999999,11885,0,0,03/03/2011,16/08/2012
225,014,071021A         ,1,99999999,1314.2,0,0,04/03/2011,11/05/2011
225,014,071021          ,1,99999999,1019.91,0,0,04/03/2011,10/05/2011
225,014,030014564       ,1,99999999,4832,0,0,04/03/2011,17/02/2021
225,014,010114564       ,1,99999999,193,0,0,04/03/2011,17/02/2021
225,014,010214564       ,1,99999999,143,0,0,04/03/2011,17/02/2021
225,014,02008815        ,1,99999999,4733,0,0,30/07/2010,08/09/2013
225,014,02009865        ,1,99999999,1841,0,0,04/03/2011,10/09/2012
225,014,040014571       ,1,99999999,3350,0,0,04/03/2011,17/02/2021
225,014,020011568       ,1,99999999,1919,0,0,24/05/2010,17/02/2021
225,014,050012877       ,1,99999999,8180,0,0,02/03/2011,20/12/2012
225,014,01004266        ,1,99999999,5274,0,0,04/03/2011,07/07/2011
225,014,01004267        ,1,99999999,6360,0,0,04/03/2011,17/02/2021
225,014,02000867        ,1,99999999,20910,0,0,04/03/2011,17/02/2021
225,014,31007311        ,1,99999999,13358,0,0,04/06/2010,12/12/2012
225,014,040013530       ,1,99999999,704,0,0,19/05/2010,07/03/2011
225,014,040014572       ,1,99999999,5806,0,0,08/03/2011,17/02/2021
225,014,071021B         ,1,99999999,1640.46,0,0,08/03/2011,11/05/2011
225,014,040014573       ,1,99999999,5806,0,0,08/03/2011,17/02/2021
225,014,071021C         ,1,99999999,1681.98,0,0,08/03/2011,12/05/2011
225,014,050013004       ,1,99999999,7852,0,0,02/03/2011,20/12/2012
225,014,07734           ,1,99999999,1269.68,0,0,08/03/2011,17/02/2021
225,014,03018945        ,1,99999999,5852.46,0,0,24/05/2010,02/12/2012
225,014,21007993        ,1,99999999,6269,0,0,19/05/2010,24/02/2013
225,014,020013859       ,1,99999999,3468,0,0,01/03/2011,28/11/2012
225,014,040012852       ,1,99999999,24648,0,0,20/09/2010,26/06/2011
225,014,040112852       ,1,99999999,15984,0,0,20/09/2010,26/06/2011
225,014,020013085       ,1,99999999,4270,0,0,09/03/2011,17/02/2021
225,014,210113085       ,1,99999999,7111,0,0,09/03/2011,17/02/2021
225,014,020012339       ,1,99999999,5091,0,0,25/02/2011,17/02/2021
225,014,040014023       ,1,99999999,6240,0,0,10/02/2011,17/02/2021
225,014,220014563       ,1,99999999,8387,0,0,24/02/2011,17/02/2021
225,014,240014255       ,1,99999999,12133,0,0,19/05/2010,17/02/2021
225,014,050114255       ,1,99999999,3881,0,0,19/05/2010,17/02/2021
225,014,130011539       ,1,99999999,3087.5,0,0,15/03/2011,15/03/2011
225,014,190013900       ,1,99999999,9503,0,0,15/03/2011,16/03/2011
225,014,220012307       ,1,99999999,2730,0,0,15/03/2011,16/03/2011
225,014,020014283       ,1,99999999,1631.5,0,0,15/03/2011,17/02/2021
225,014,030014041       ,1,9999999,2080,0,0,15/03/2011,17/02/2021
225,014,110011332       ,1,99999999,3861,0,0,15/03/2011,15/03/2011
225,014,130012793       ,1,99999999,7917,0,0,15/03/2011,21/06/2011
225,014,020013831       ,1,99999999,1573,0,0,15/03/2011,30/03/2012
225,014,050010065       ,1,99999999,279.5,0,0,15/03/2011,15/03/2011
225,014,050011572       ,1,99999999,6149,0,0,15/03/2011,17/02/2021
225,014,050011574       ,1,99999999,4088.5,0,0,15/03/2011,17/02/2021
225,014,05009600        ,1,99999999,5590,0,0,15/03/2011,17/02/2021
225,014,05009967        ,1,99999999,1612,0,0,15/03/2011,15/03/2011
225,014,110010042       ,1,99999999,19077.5,0,0,15/03/2011,17/02/2021
225,014,040014576       ,1,99999999,2769,0,0,14/03/2011,17/02/2021
225,014,040014575       ,1,99999999,2769,0,0,14/03/2011,17/02/2021
225,014,040014574       ,1,99999999,2769,0,0,14/03/2011,17/02/2021
225,014,071021E         ,1,99999999,1061.74,0,0,14/03/2011,18/05/2011
225,014,071021D         ,1,99999999,1121.26,0,0,14/03/2011,12/05/2011
225,014,071021B-3       ,1,99999999,1145.94,0,0,14/03/2011,17/02/2021
225,014,040013530       ,1,99999999,786,0,0,08/03/2011,20/12/2012
225,014,220013000       ,1,99999999,2682,0,0,18/05/2010,20/12/2012
225,014,02009748        ,1,99999999,2880,0,0,16/03/2011,10/09/2012
225,014,220012824       ,1,99999999,2640,0,0,18/05/2010,20/12/2012
225,014,010012161       ,1,99999999,3738,0,0,25/02/2011,17/02/2021
225,014,010012181       ,1,99999999,3928,0,0,25/02/2011,10/02/2013
225,014,010013363       ,1,99999999,5584,0,0,25/02/2011,10/02/2013
225,014,010013952       ,1,99999999,2914,0,0,25/02/2011,10/02/2013
225,014,01006845        ,1,99999999,5544,0,0,04/03/2011,17/02/2021
225,014,020014242       ,1,99999999,3667,0,0,08/03/2011,17/02/2021
225,014,230011687       ,1,99999999,10186,0,0,24/05/2010,27/05/2015
225,014,220013192       ,1,99999999,5311,0,0,24/05/2010,17/02/2021
225,014,010014579       ,1,99999999,5133,0,0,18/03/2011,17/02/2021
225,014,010114579       ,1,99999999,493,0,0,18/03/2011,17/02/2021
225,014,010214579       ,1,99999999,422,0,0,18/03/2011,17/02/2021
225,014,010014580       ,1,99999999,3926,0,0,22/03/2011,17/02/2021
225,014,220014577       ,1,99999999,5331,0,0,22/03/2011,17/02/2021
225,014,030114577       ,1,99999999,522,0,0,22/03/2011,17/02/2021
225,014,030214577       ,1,99999999,472,0,0,22/03/2011,17/02/2021
225,014,030314577       ,1,99999999,688,0,0,22/03/2011,17/02/2021
225,014,24C3013         ,1,99999999,3866.5,0,0,22/03/2011,17/02/2021
225,014,24P3013         ,1,99999999,942.5,0,0,22/03/2011,08/09/2011
225,014,24P3013A        ,1,99999999,1138.5,0,0,22/03/2011,08/09/2011
225,014,05008986        ,1,99999999,4805,0,0,19/05/2010,17/02/2021
225,014,130014580       ,1,99999999,12011,0,0,23/03/2011,21/01/2013
225,014,07756           ,1,99999999,1530.2,0,0,23/03/2011,17/02/2021
225,014,050013963       ,1,99999999,11938,0,0,24/05/2010,17/02/2021
225,014,130011899       ,1,99999999,20010,0,0,02/03/2011,17/02/2021
225,014,030014064       ,1,9999999,3305,0,0,23/11/2010,17/02/2021
225,014,01000154        ,1,99999999,196,0,0,18/05/2010,26/11/2012
225,014,01008462        ,1,99999999,1111,0,0,14/05/2010,22/03/2017
225,014,020013800       ,1,99999999,4032,0,0,22/03/2011,17/02/2021
225,014,240014582       ,1,99999999,10650,0,0,28/03/2011,17/02/2021
225,014,240214582       ,1,99999999,1222,0,0,28/03/2011,17/02/2021
225,014,240114582       ,1,99999999,716,0,0,28/03/2011,17/02/2021
225,014,240014581       ,1,99999999,10611,0,0,28/03/2011,31/07/2013
225,014,240114581       ,1,99999999,1144,0,0,28/03/2011,20/12/2012
225,014,240214581       ,1,99999999,724,0,0,28/03/2011,20/12/2012
225,014,24P424          ,1,99999999,921.6,0,0,28/03/2011,17/02/2021
225,014,24P424A         ,1,99999999,985.2,0,0,28/03/2011,17/02/2021
225,014,24P424B         ,1,99999999,882,0,0,28/03/2011,17/02/2021
225,014,24P424C         ,1,99999999,1008,0,0,28/03/2011,17/02/2021
225,014,020014587       ,1,99999999,3800,0,0,30/03/2011,17/02/2021
225,014,020014588       ,1,99999999,3800,0,0,30/03/2011,20/03/2013
225,014,050014585       ,1,99999999,12738,0,0,30/03/2011,17/02/2021
225,014,050014586       ,1,99999999,8453,0,0,30/03/2011,17/02/2021
225,017,020010568       ,1,99999999,5383,0,0,30/03/2011,31/12/2017
225,014,21007863        ,1,99999999,6664,0,0,19/05/2010,24/02/2013
225,014,210010634       ,1,99999999,8454,0,0,19/05/2010,24/02/2013
225,014,02009862        ,1,99999999,2057,0,0,31/03/2011,10/09/2012
225,014,210013274       ,1,9999999,10788,0,0,31/03/2011,17/02/2021
225,014,230012422       ,1,99999999,3646,0,0,24/02/2011,25/06/2011
225,014,050012393       ,1,99999999,7587,0,0,24/02/2011,26/05/2011
225,017,030013147       ,1,99999999,6214,0,0,31/03/2011,17/02/2021
225,014,02006157        ,1,99999999,3609,0,0,01/03/2011,17/02/2021
225,014,120013006       ,1,99999999,11022,0,0,05/04/2011,08/06/2015
225,014,040014224       ,1,99999999,4709,0,0,01/04/2011,17/02/2021
225,014,030013882       ,1,99999999,5123,0,0,02/04/2011,17/02/2021
225,014,010114583       ,1,99999999,443,0,0,05/04/2011,17/02/2021
225,014,010214583       ,1,99999999,336,0,0,05/04/2011,17/02/2021
225,014,010314583       ,1,99999999,1894,0,0,05/04/2011,17/02/2021
225,014,030014583       ,1,99999999,5486,0,0,05/04/2011,17/02/2021
225,014,030014584       ,1,99999999,7241,0,0,05/04/2011,17/02/2021
225,014,010114584       ,1,99999999,603,0,0,05/04/2011,17/02/2021
225,014,010214584       ,1,99999999,446,0,0,05/04/2011,17/02/2021
225,014,010314584       ,1,99999999,2544,0,0,05/04/2011,17/02/2021
225,014,050012851       ,1,99999999.9999,10343,0,0,30/03/2011,17/02/2021
225,014,040014589       ,1,99999999.9999,8108,0,0,05/04/2011,17/02/2021
225,014,230114589       ,1,99999999.9999,18703,0,0,05/04/2011,17/02/2021
225,014,020014591       ,1,99999999,2209,0,0,07/04/2011,17/09/2013
225,014,020014590       ,1,99999999,2837,0,0,07/04/2011,17/02/2021
225,014,250010208       ,1,99999999,14318,0,0,13/01/2011,17/11/2011
225,014,150013392       ,1,99999999,66529,0,0,20/05/2010,06/04/2011
225,014,050014593       ,1,99999999,5513,0,0,07/04/2011,26/06/2011
225,014,050014592       ,1,99999999,7387,0,0,07/04/2011,26/06/2011
225,014,050214597       ,1,99999999,6651,0,0,20/04/2011,17/02/2021
225,017,02009254        ,1,99999999,2095,0,0,11/04/2011,11/04/2011
225,014,020014594       ,1,99999999,3823,0,0,12/04/2011,23/01/2017
225,014,060013820       ,1,99999999,7241,0,0,18/05/2010,16/05/2016
225,014,060013819       ,1,99999999,4603,0,0,18/05/2010,26/11/2012
225,014,21007622        ,1,99999999,6182,0,0,19/05/2010,17/02/2021
225,014,21007730        ,1,99999999,7700,0,0,19/05/2010,17/02/2021
225,014,070014017       ,1,99999999,21088.23,0,0,01/06/2010,17/02/2021
225,014,150013392       ,1,99999999,81563,0,0,07/04/2011,17/02/2021
225,014,020012291       ,1,99999999,2419,0,0,24/05/2010,17/02/2021
225,014,030010917       ,1,99999999,11286,0,0,26/05/2010,17/02/2021
225,014,140010345       ,1,99999999,42779,0,0,11/04/2011,12/02/2014
225,014,240310818       ,1,99999999,3660,0,0,18/04/2011,17/02/2021
225,014,240210818       ,1,99999999,748,0,0,18/04/2011,17/02/2021
225,014,240510818       ,1,99999999,3190,0,0,18/04/2011,17/02/2021
225,014,130014596       ,1,99999999,82304,0,0,18/04/2011,17/02/2021
225,014,120014595       ,1,99999999,15155,0,0,19/04/2011,17/02/2021
225,014,24P764          ,1,99999999,1993,0,0,19/04/2011,17/02/2021
225,014,020013356       ,1,99999999,3288,0,0,19/05/2010,01/10/2012
225,014,320014597       ,1,99999999,4054,0,0,20/04/2011,17/02/2021
225,014,050114597       ,1,99999999,3702,0,0,20/04/2011,17/02/2021
225,014,050314597       ,1,99999999,1743,0,0,20/04/2011,17/02/2021
225,014,050414597       ,1,99999999,3131,0,0,20/04/2011,17/02/2021
225,014,050514597       ,1,99999999,846,0,0,20/04/2011,17/02/2021
225,014,050614597       ,1,99999999,1088,0,0,20/04/2011,17/02/2021
225,014,040714597       ,1,99999999,8466,0,0,20/04/2011,17/02/2021
225,014,040814597       ,1,99999999,853,0,0,20/04/2011,17/02/2021
225,014,230914597       ,1,99999999,2606,0,0,20/04/2011,17/02/2021
225,014,231014597       ,1,99999999,1581,0,0,20/04/2011,17/02/2021
225,014,231114597       ,1,99999999,2214,0,0,20/04/2011,17/02/2021
225,014,231214597       ,1,99999999,3440,0,0,20/04/2011,17/02/2021
225,014,231314597       ,1,99999999,3046,0,0,20/04/2011,17/02/2021
225,014,231414597       ,1,99999999,1447,0,0,20/04/2011,17/02/2021
225,014,041514597       ,1,99999999,921,0,0,20/04/2011,17/02/2021
225,014,041714597       ,1,99999999,1152,0,0,20/04/2011,17/02/2021
225,014,041814597       ,1,99999999,982,0,0,20/04/2011,17/02/2021
225,014,233314597       ,1,99999999,2499,0,0,20/04/2011,17/02/2021
225,014,233214597       ,1,99999999,4700,0,0,20/04/2011,17/02/2021
225,014,042414597       ,1,99999999,1400,0,0,20/04/2011,17/02/2021
225,014,041614597       ,1,99999999,862,0,0,20/04/2011,17/02/2021
225,014,043414597       ,1,99999999,635,0,0,20/04/2011,17/02/2021
225,014,043514597       ,1,99999999,652,0,0,20/04/2011,17/02/2021
225,014,055814597       ,1,99999999,33723,0,0,20/04/2011,17/02/2021
225,014,045914597       ,1,99999999,20986,0,0,20/04/2011,17/02/2021
225,014,046014597       ,1,99999999,11562,0,0,20/04/2011,17/02/2021
225,014,046114597       ,1,99999999,284,0,0,20/04/2011,17/02/2021
225,014,042314597       ,1,99999999,1085,0,0,20/04/2011,17/02/2021
225,014,042714597       ,1,99999999,863,0,0,20/04/2011,17/02/2021
225,014,232814597       ,1,99999999,738,0,0,20/04/2011,17/02/2021
225,014,232914597       ,1,99999999,864,0,0,20/04/2011,17/02/2021
225,014,043014597       ,1,99999999,4721,0,0,20/04/2011,17/02/2021
225,014,043114597       ,1,99999999,667,0,0,20/04/2011,17/02/2021
225,014,044214597       ,1,99999999,1120,0,0,20/04/2011,17/02/2021
225,014,044314597       ,1,99999999,689,0,0,20/04/2011,17/02/2021
225,014,030014166       ,1,99999999,2807.84,0,0,01/06/2010,16/12/2012
225,014,234414597       ,1,99999999,7265,0,0,20/04/2011,17/02/2021
225,014,044514597       ,1,99999999,1115,0,0,20/04/2011,17/02/2021
225,014,233614597       ,1,99999999,2138,0,0,20/04/2011,17/02/2021
225,014,233714597       ,1,99999999,325,0,0,20/04/2011,17/02/2021
225,014,233814597       ,1,99999999,1980,0,0,20/04/2011,17/02/2021
225,014,233914597       ,1,99999999,2517,0,0,20/04/2011,17/02/2021
225,014,234014597       ,1,99999999,3166,0,0,20/04/2011,17/02/2021
225,014,234114597       ,1,99999999,5700,0,0,20/04/2011,17/02/2021
225,014,044614597       ,1,99999999,1192,0,0,25/04/2011,17/02/2021
225,014,234814597       ,1,99999999,755,0,0,25/04/2011,17/02/2021
225,014,234914597       ,1,99999999,1485,0,0,25/04/2011,17/02/2021
225,014,235014597       ,1,99999999,1162,0,0,25/04/2011,17/02/2021
225,014,235114597       ,1,99999999,1100,0,0,25/04/2011,17/02/2021
225,014,235214597       ,1,99999999,1593,0,0,25/04/2011,17/02/2021
225,014,235314597       ,1,99999999,1293,0,0,25/04/2011,17/02/2021
225,014,235514597       ,1,99999999,1621,0,0,25/04/2011,17/02/2021
225,014,235414597       ,1,99999999,1634,0,0,25/04/2011,17/02/2021
225,014,235614597       ,1,99999999,2271,0,0,25/04/2011,17/02/2021
225,014,045714597       ,1,99999999,11638,0,0,25/04/2011,17/02/2021
225,014,231914597       ,1,99999999,1366,0,0,25/04/2011,17/02/2021
225,014,232014597       ,1,99999999,1726,0,0,25/04/2011,17/02/2021
225,014,232114597       ,1,99999999,2351,0,0,25/04/2011,17/02/2021
225,014,232214597       ,1,99999999,1780,0,0,25/04/2011,17/02/2021
225,014,232514597       ,1,99999999,894,0,0,25/04/2011,17/02/2021
225,014,042614597       ,1,99999999,1246,0,0,25/04/2011,17/02/2021
225,014,240110818       ,1,99999999,24145,0,0,26/04/2011,17/02/2021
225,014,240010818       ,1,99999999,24749,0,0,26/04/2011,17/02/2021
225,014,24P262          ,1,99999999,885,0,0,26/04/2011,17/02/2021
